,Symbol,Security
372,PNC,PNC Financial Services
373,POOL,Pool Corporation
374,PPG,PPG Industries
375,PPL,PPL Corp.
376,PFG,Principal Financial Group
377,PG,Procter & Gamble
378,PGR,Progressive Corp.
379,PLD,Prologis
380,PRU,Prudential Financial
381,PEG,Public Service Enterprise Group (PSEG)
382,PSA,Public Storage
383,PHM,PulteGroup
384,PVH,PVH Corp.
385,QRVO,Qorvo
386,PWR,Quanta Services Inc.
387,QCOM,QUALCOMM Inc.
388,DGX,Quest Diagnostics
389,RL,Ralph Lauren Corporation
390,RJF,Raymond James Financial Inc.
391,RTX,Raytheon Technologies
392,O,Realty Income Corporation
393,REG,Regency Centers Corporation
394,REGN,Regeneron Pharmaceuticals
395,RF,Regions Financial Corp.
396,RSG,Republic Services Inc
397,RMD,ResMed
398,RHI,Robert Half International
399,ROK,Rockwell Automation Inc.
400,ROL,Rollins Inc.
401,ROP,Roper Technologies
402,ROST,Ross Stores
403,RCL,Royal Caribbean Group
404,SPGI,"S&P Global, Inc."
405,CRM,Salesforce.com
406,SBAC,SBA Communications
407,SLB,Schlumberger Ltd.
408,STX,Seagate Technology
409,SEE,Sealed Air
410,SRE,Sempra Energy
411,NOW,ServiceNow
412,SHW,Sherwin-Williams
413,SPG,Simon Property Group Inc
414,SWKS,Skyworks Solutions
415,SLG,SL Green Realty
416,SNA,Snap-on
417,SO,Southern Company
418,LUV,Southwest Airlines
419,SWK,Stanley Black & Decker
420,SBUX,Starbucks Corp.
421,STT,State Street Corp.
422,STE,STERIS plc
423,SYK,Stryker Corp.
424,SIVB,SVB Financial
425,SYF,Synchrony Financial
426,SNPS,Synopsys Inc.
427,SYY,Sysco Corp.
428,TMUS,T-Mobile US
429,TROW,T. Rowe Price Group
430,TTWO,Take-Two Interactive
431,TPR,"Tapestry, Inc."
432,TGT,Target Corp.
433,TEL,TE Connectivity Ltd.
434,FTI,TechnipFMC
435,TDY,Teledyne Technologies
436,TFX,Teleflex
437,TER,Teradyne
438,TXN,Texas Instruments
439,TXT,Textron Inc.
440,TMO,Thermo Fisher Scientific
441,TIF,Tiffany & Co.
442,TJX,TJX Companies Inc.
443,TSCO,Tractor Supply Company
444,TT,Trane Technologies plc
445,TDG,TransDigm Group
446,TRV,The Travelers Companies Inc.
447,TFC,Truist Financial
448,TWTR,"Twitter, Inc."
449,TYL,Tyler Technologies
450,TSN,Tyson Foods
451,UDR,"UDR, Inc."
452,ULTA,Ulta Beauty
453,USB,U.S. Bancorp
454,UAA,Under Armour (Class A)
455,UA,Under Armour (Class C)
456,UNP,Union Pacific Corp
457,UAL,United Airlines Holdings
458,UNH,UnitedHealth Group Inc.
459,UPS,United Parcel Service
460,URI,"United Rentals, Inc."
461,UHS,Universal Health Services
462,UNM,Unum Group
463,VLO,Valero Energy
464,VAR,Varian Medical Systems
465,VTR,Ventas Inc
466,VRSN,Verisign Inc.
467,VRSK,Verisk Analytics
468,VZ,Verizon Communications
469,VRTX,Vertex Pharmaceuticals Inc
470,VFC,VF Corporation
471,VIAC,ViacomCBS
472,VTRS,Viatris
473,V,Visa Inc.
474,VNT,Vontier
475,VNO,Vornado Realty Trust
476,VMC,Vulcan Materials
477,WRB,W. R. Berkley Corporation
478,WAB,Westinghouse Air Brake Technologies Corp
479,WMT,Walmart
480,WBA,Walgreens Boots Alliance
481,DIS,The Walt Disney Company
482,WM,Waste Management Inc.
483,WAT,Waters Corporation
484,WEC,WEC Energy Group
485,WFC,Wells Fargo
486,WELL,Welltower Inc.
487,WST,West Pharmaceutical Services
488,WDC,Western Digital
489,WU,Western Union Co
490,WRK,WestRock
491,WY,Weyerhaeuser
492,WHR,Whirlpool Corp.
493,WMB,Williams Companies
494,WLTW,Willis Towers Watson
495,WYNN,Wynn Resorts Ltd
496,XEL,Xcel Energy Inc
497,XRX,Xerox
498,XLNX,Xilinx
499,XYL,Xylem Inc.
500,YUM,Yum! Brands Inc
501,ZBRA,Zebra Technologies
502,ZBH,Zimmer Biomet
503,ZION,Zions Bancorp
504,ZTS,Zoetis
